Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
681bf08e67a232e6d681a356,671fca7287fb225453006af0,AWAITING REVIEW,Not Applicable,2025-05-07T23:45:34Z,2025-05-07T23:54:06Z,NA,2025-05-07T23:54:07Z,513,2B73928C,801,54,Male,White,Bosnia and Herzegovina,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681bf0926e1c8baab591d491,62b44f66a16d45783569fad6,AWAITING REVIEW,Not Applicable,2025-05-07T23:45:57Z,2025-05-07T23:50:50Z,NA,2025-05-07T23:50:51Z,294,2B73928C,2933,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
681bf0a85d229ed8f6119de6,67d35d2c2eff9287d28e04e8,AWAITING REVIEW,Not Applicable,2025-05-07T23:45:53Z,2025-05-07T23:51:49Z,NA,2025-05-07T23:51:50Z,357,2B73928C,529,25,Female,Black,United States,United States,United States,English,No,Part-Time
681bf0aa02cf0379c8eae7bc,5efec82cf597a73e75e3fbe0,AWAITING REVIEW,Not Applicable,2025-05-07T23:47:39Z,2025-05-07T23:49:48Z,NA,2025-05-07T23:49:49Z,130,2B73928C,4393,23,Female,Asian,United States,United States,United States,English,Yes,Part-Time
681bf0ad0f5f909b47e44593,67da04c280954fc1c778ca02,AWAITING REVIEW,Not Applicable,2025-05-07T23:46:06Z,2025-05-07T23:52:42Z,NA,2025-05-07T23:52:43Z,396,2B73928C,417,56,Female,White,United States,United States,United States,English,No,Full-Time
681bf0bb02d53abeb8ca3fa2,66ca41de318c12cd9f59b13a,AWAITING REVIEW,Not Applicable,2025-05-07T23:46:11Z,2025-05-07T23:51:54Z,NA,2025-05-07T23:51:54Z,343,2B73928C,1015,68,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
681bf0e3a52bb1b601dec284,67e6bc676fb4db70edc23b5b,AWAITING REVIEW,Not Applicable,2025-05-07T23:46:51Z,2025-05-07T23:49:51Z,NA,2025-05-07T23:49:51Z,180,2B73928C,445,61,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
681bf1101d63186ff4eaf0bd,63e5747f1eb29ec68ae2ddd6,AWAITING REVIEW,Not Applicable,2025-05-07T23:47:28Z,2025-05-07T23:49:19Z,NA,2025-05-07T23:49:20Z,112,2B73928C,807,23,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
681bf113088f751eeddecdde,67e9abb9af847e68878b7c45,AWAITING REVIEW,Not Applicable,2025-05-07T23:47:41Z,2025-05-07T23:52:08Z,NA,2025-05-07T23:52:09Z,267,2B73928C,379,42,Female,White,United States,United States,United States,English,No,Full-Time
681bf121603b32377373eda8,678df4f0880dc11090c4839e,AWAITING REVIEW,Not Applicable,2025-05-07T23:47:45Z,2025-05-07T23:52:05Z,NA,2025-05-07T23:52:05Z,260,2B73928C,80,22,Male,Black,United States,United States,United States,English,No,Full-Time
